"t" "mg"
"724" 980.33980324074 3.48
"725" 980.340983796296 3.77
"726" 980.399375 3.35
"727" 980.470578703704 3.35
"728" 980.48096064815 3.63
"729" 980.49894675926 3.2
"730" 980.535023148148 3.38
"731" 980.569560185185 3.65
"732" 980.843078703704 3.62
"733" 981.171770833334 3.17
"734" 981.75519675926 3.23
"735" 982.974189814815 3.68
"736" 983.108460648148 3.03
"737" 983.952685185185 3.08
"738" 984.25724537037 3.06
"739" 984.697372685185 3.1
"740" 984.69866898148 3.1
"741" 986.27650462963 3.52
"742" 988.756423611111 3.13
"743" 991.67025462963 3.12
"744" 992.560104166667 3.44
"745" 996.552662037037 3.2
"746" 997.548611111111 3.07
"747" 997.740625 3.36
"748" 998.499861111111 3.01
"749" 998.953368055556 3.03
"750" 1001.58780092593 3.42
"751" 1002.87530092593 3.23
"752" 1003.70290509259 4.18
"753" 1005.13354166667 3.99
"754" 1005.93297453704 3.79
"755" 1009.01876157407 3.01
"756" 1010.48637731481 3.72
"757" 1011.77189814815 3.1
"758" 1013.93266203704 3.4
"759" 1013.95553240741 3.03
"760" 1018.39498842593 4
"761" 1018.6383912037 3.17
"762" 1019.71962962963 3.14
"763" 1019.8037037037 3
"764" 1021.08074074074 3.53
"765" 1023.04856481482 3.09
"766" 1024.23298611111 3.52
"767" 1026.38828703704 3.04
"768" 1027.16252314815 3.2
"769" 1028.11315972222 3.18
"770" 1028.98643518518 3.07
"771" 1032.44322916667 4.48
"772" 1032.63216435185 3.01
"773" 1032.67747685185 3.27
"774" 1034.93547453704 3.77
"775" 1038.21112268518 3.17
"776" 1040.72219907407 3.97
"777" 1041.42222222222 3.19
"778" 1042.59538194444 3.09
"779" 1044.39944444444 3.27
"780" 1044.67483796296 3
"781" 1047.2550462963 3.41
"782" 1047.5503125 3.02
"783" 1048.20335648148 3.37
"784" 1052.92165509259 3
"785" 1055.42627314815 3.34
"786" 1055.54328703704 3.12
"787" 1057.10899305556 3.18
"788" 1057.42287037037 3.22
"789" 1058.52208333333 3.36
"790" 1065.86222222222 3.2
"791" 1067.29792824074 3.19
"792" 1068.20509259259 3
"793" 1070.55875 3.09
"794" 1071.85635416667 3.28
"795" 1076.46049768519 3
"796" 1083.04487268519 3.09
"797" 1083.70907407407 3.06
"798" 1083.91075231481 3.01
"799" 1084.75612268518 3.07
"800" 1084.84694444444 3.68
"801" 1090.06622685185 3.7
"802" 1091.04681712963 3.14
"803" 1092.1340625 3.26
"804" 1094.00362268519 3.52
"805" 1095.24226851852 3.13
"806" 1096.40864583333 3
"807" 1096.48722222222 3.25
"808" 1096.68409722222 3.43
"809" 1099.08409722222 3.67
"810" 1101.25368055556 3.06
"811" 1103.33481481482 3
"812" 1104.26313657407 3
"813" 1106.08565972222 3.4
"814" 1110.65751157407 3.13
"815" 1119.92025462963 3.37
"816" 1123.57243055556 3
"817" 1126.46039351852 3.35
"818" 1128.53127314815 3.01
"819" 1132.83199074074 3.32
"820" 1133.04458333333 3.18
"821" 1133.48974537037 5.38
"822" 1133.49517361111 3.1
"823" 1133.4959375 3.07
"824" 1133.49893518519 3.13
"825" 1133.50478009259 3.09
"826" 1133.51202546296 3.5
"827" 1133.51798611111 3.3
"828" 1133.53476851852 3.03
"829" 1133.53543981481 3.2
"830" 1133.56883101852 3.04
"831" 1133.67002314815 3.11
"832" 1133.74969907407 4.16
"833" 1133.75375 3.41
"834" 1133.75543981481 3.05
"835" 1133.76613425926 3.05
"836" 1133.76670138889 3.13
"837" 1133.7678125 4.2
"838" 1133.90739583333 3.1
"839" 1133.96935185185 3.33
"840" 1133.98168981481 3.44
"841" 1133.98402777778 3
"842" 1133.98413194444 3.67
"843" 1133.99234953704 3.08
"844" 1134.21866898148 3.36
"845" 1135.10994212963 3.04
"846" 1135.48537037037 3.53
"847" 1136.19280092593 3.07
"848" 1140.4796875 3.09
"849" 1140.57935185185 4.19
"850" 1140.64366898148 4.63
"851" 1140.69291666667 3.14
"852" 1141.65862268519 3.03
"853" 1141.92159722222 3.24
"854" 1143.69385416667 3.07
"855" 1147.87659722222 3.53
"856" 1148.30241898148 3.97
"857" 1150.10825231482 3
"858" 1151.63408564815 3.23
"859" 1152.31252314815 3.74
"860" 1152.79480324074 3.14
"861" 1153.59752314815 3.08
"862" 1154.28008101852 3.58
"863" 1155.31496527778 3.13
"864" 1156.12061342593 3.1
"865" 1158.31873842593 3.32
"866" 1158.74685185185 3.43
"867" 1165.9997337963 3.32
"868" 1169.04875 3.11
"869" 1173.02340277778 3.34
"870" 1173.0415162037 3.51
"871" 1173.92243055556 3.29
"872" 1174.50674768519 3.02
"873" 1177.9741087963 3.33
"874" 1183.14513888889 3.2
"875" 1183.24892361111 3.08
"876" 1184.42431712963 3.03
"877" 1185.31001157407 3.11
"878" 1186.21137731481 3.25
"879" 1188.47445601852 3.57
"880" 1188.56491898148 3.2
"881" 1193.05658564815 3.08
"882" 1194.11133101852 3.26
"883" 1195.6422337963 3.65
"884" 1196.07010416667 3.19
"885" 1199.57111111111 3.33
"886" 1203.98055555556 3.16
"887" 1205.29771990741 3.4
"888" 1206.08268518519 3.33
"889" 1206.40037037037 3.03
"890" 1213.02873842593 3.36
"891" 1214.20052083333 3.09
"892" 1214.81387731481 3.06
"893" 1215.38842592593 3
"894" 1216.1002662037 4.07
"895" 1218.91520833333 3.06
"896" 1219.65502314815 3.33
"897" 1225.84561342593 3.28
"898" 1226.72481481481 3.43
"899" 1226.92372685185 4.12
"900" 1230.50572916667 3.35
"901" 1230.65196759259 3.01
"902" 1232.38935185185 3.02
"903" 1234.45405092593 3.71
"904" 1235.4765625 3.3
"905" 1236.89746527778 3.03
"906" 1237.31275462963 3
"907" 1241.05444444444 3.07
"908" 1245.07635416667 3.11
"909" 1246.25462962963 3.32
"910" 1248.09616898148 3.44
"911" 1248.09719907407 3.39
"912" 1249.28728009259 3.63
"913" 1252.27332175926 3.32
"914" 1253.67770833333 3.4
"915" 1254.81225694444 3.3
"916" 1255.24565972222 3.07
"917" 1257.30498842593 3.01
"918" 1260.6362037037 3.76
"919" 1260.89519675926 3.33
"920" 1261.83728009259 3.4
"921" 1263.27261574074 3.28
"922" 1267.66434027778 3.77
